ID,Title,Collection Stage,Note,Brief_Description,Image,Link,Display,Spatial_Channel,Visceral_Channel,Source,Viewer_Locomotion_Mode,Mark_Moving_Mode,Body_Movement,Progress_Review,Shortcut,Anchor_Representation,Anchor_Space,Narrative,General_Startegies
C1,Wealth Shown To Scale,Initialization,/,"Scrollable long blocks, representing wealth of richests people in USA",C1,https://eattherichtextformat.github.io/1-pixel-wealth/,2D screens,"Length, Area","Effort, Time",Encounter Online,Stationary,Moving,Finger and hand,None,Speed Up,"Visual, Verbal","Physical, Data",Informative,Interactive panning
C2,8 Billion People In Perspective,Initialization,/,"A 3D animations where the camera moves through the entire world population as a huge
crowd assembled in a vast area",C2,https://www.youtube.com/watch?v=Sxejy6jd_zc,2D screens,Area,Time,Encounter Online,Stationary,Moving,None,None,"Speed Up, Jump",Visual,"Physical, Data",None,Animated panning
C3,"Risk, Cycling And Denominator Neglect",Initialization,Mark scanning is the visualization in the End,Scrollable cluster of blocks representing bike journeys,C3,https://www.gicentre.net/blog/2013/11/24/risk-cycling-and-denominator-neglect,2D screens,Area,Time,Encounter Online,Stationary,Moving,Finger and hand ,None,Speed Up,None,None,None,Interactive panning
C4,Yale'S $32 Billion Endowment,Initialization,/,"A 200-meter-long strip painted on a street, comparing Yale University's $32 billion endowment to
its contributions to its home city of New Haven",C4,https://x.com/DavarianBaldwin/status/1388840756895526912,Physical media,Length,"Effort, Time",Encounter Online,Physical locomotion,Still,Lower limb ,None,None,None,None,None,Walkable marks
C5,Des Dinosaures ? L'Homme (From Dinosaurs To Humans),Initialization,/,An animated timeline visualization of the universe in a monitor goes forward as the viewer turns the crank ,C5,https://www.fleurdepapier.com/realisations/2015/musee-de-l-homme/des-dinosaures-a-l-homme/,2D screens,Length,"Effort, Time",Museum and Exhibition,Stationary,Moving,Upper limb ,Counter,Speed Up,None,None,None,Interactive panning
C6,The Historical Cost Of Light,Initialization,/,Scrollable pixels representing the cost of light during different eras,C6,https://pudding.cool/2020/12/lighting-cost/,2D screens,Area,"Effort, Time",Related Work,Stationary,Moving,Finger and hand ,Counter,Speed Up,Verbal,Data,"Informative, Filler",Interactive panning
C7,Hiking Path Of The Solar System,Initialization,/,A hiking trail featuring a scale model of the solar system where every meter corresponds to one million kilometers of actual distance.,C7,https://de.wikipedia.org/wiki/Planetenweg_Uetliberg#,Physical media,Length,"Effort, Time",Encounter Online,Physical locomotion,Still,Lower limb ,Milestones,None,None,None,Informative,Walkable marks
C8,Trail Of Time,Initialization,/,Walkable path illustrating the time elapsed leading to the Great Canyon formation,C8,https://www.nps.gov/grca/planyourvisit/the-trail-of-time.htm,Physical media,Length,"Effort, Time",Related Work,Physical locomotion,Still,Lower limb ,Milestones,None,None,None,Informative,Walkable marks
C9,The Fallen Of World War Ii,Initialization,Mark scanning is the visualization at 9min15s,Video moving along vertical bars representing the number of death soldiers during World War II,C9,https://www.youtube.com/watch?v=DwKPFT-RioU&t=340s,2D screens,Length,None,Encounter Online,Stationary,Moving,None,None,Speed Up,None,None,Informative,Animated panning
C10,The Deep Sea,Initialization,/,A scrollable infographics showing how deep the sea is and animals living at different depth levels,C10,https://neal.fun/deep-sea/,2D screens,Length,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,Counter,Speed Up,Verbal,Data,"Informative, Filler",Interactive panning
C11,The Actual Number Of Americans Jailed Or Imprisoned,Initialization,/,Scrollable pictograms representing the actual number of Americans imprisoned,C11,https://mkorostoff.github.io/incarceration-in-real-numbers/,2D screens,Area,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,Counter,Speed Up,Verbal,Data,Informative,Interactive panning
C12,A Virtual Reality 360 Experience Case From An Experiment,Initialization,The video is the ''Bar-Chart-Anchor-Condition" condition downloaded under the "experiment material'' tab of the website: https://immersivedatavideo.github.io/ .,Video of a bar charts representing tea production per country.,C12,"https://immersivedatavideo.github.io/
",VR displays,Length,Time,Related Work,Virtual locomotion,Still,None,None,Speed Up,Visual,Physical,None,Animated panning
C13,The Incredible Depth Of Earth Layers,Expansion,/,Animated video of a bar representing the depth of the Earth and its layers.,C13,https://www.youtube.com/watch?v=OzuKknkJt-I,2D screens,Length,Time,Encounter Online,Stationary,Moving,None,"Milestones, Counter","Speed Up, Jump",Visual,"Data, Physical",Informative,Mark building up
C14,All People On One Page,Initialization,/,Scrollable area covered in pictograms representing the current world population.,C14,https://www.worldometers.info/watch/world-population/,2D screens,Area,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,Counter,Speed Up,None,None,None,Interactive panning
C15,Death In Syria,Initialization,Mark scanning is the visualization in the Beginning,Scrollable area covered in dots representing killed people during the syrian civil war.,C15,https://www.nytimes.com/interactive/2015/09/14/world/middleeast/syria-war-deaths.html,2D screens,Area,None,Encounter Online,Stationary,Moving,Finger and hand ,None,Speed Up,None,None,Informative,Interactive panning
C16,7 Billion People On 1 Page,Initialization,/,"Scrollable unit visualization where each icon represents an individual in the world, colored according to their continent of residence",C16,https://www.7billionworld.com/,2D screens,Area,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,Counter,Speed Up,None,None,None,Interactive panning
C17,Du Papier Toilette (Oui Oui...),Initialization,/,Urolling a toilet paper roll to compare sizes of different digital media presented by the length of paper sheets ,C17,https://limitesnumeriques.fr/sensibiliser/Animated panning-numerique-responsable/demontage-conference,Physical media,Length,Time,Encounter Online,Physical locomotion,Moving,Full-body ,Compressed View,None,None,None,None,Mark building up
C18,All Of The World?S Money And Markets In One Visualization,Expansion,/,Scrollable visualization of squares representing world's money,C18,https://www.visualcapitalist.com/all-of-the-worlds-money-and-markets-in-one-visualization-2020/,2D screens,Area,Time,Encounter Online,Stationary,Moving,Finger and hand ,None,Speed Up,None,None,Informative,Interactive panning
C19,If The Moon Were One Pixel,Expansion,/,"Planets of the  solar system is laid out left-to-right, using a ?moon = 1 pixel? scale",C19,https://joshworth.com/dev/pixelspace/pixelspace_solarsystem.html,2D screens,Length,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,"Progress Bar, Counter, Milestones",Speed Up,Verbal,"Data, Physical","Informative, Filler",Interactive panning
